actual,proposed
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.5047553777694702,0.0
-0.5047553777694702,-0.3217218220233917
-0.5334346294403076,-0.3217218220233917
-0.6012148261070251,-0.33999520540237427
-0.6012148261070251,-0.3831780254840851
-0.6584733724594116,-0.3831780254840851
-0.6584733724594116,-0.4196524918079376
-0.6928284764289856,-0.4196524918079376
-0.7520512938499451,-0.44153472781181335
-0.7520512938499451,-0.4792516827583313
-0.8094598054885864,-0.4792516827583313
-0.8094598054885864,-0.5158072113990784
-0.8439049124717712,-0.5158072113990784
-0.9013134241104126,-0.5377374887466431
-0.9013134241104126,-0.5742827653884888
-0.9498987197875977,-0.5742827653884888
-0.9498987197875977,-0.6052058339118958
-0.9785101413726807,-0.6052058339118958
-1.0357328653335571,-0.6234137415885925
-1.0357328653335571,-0.6598236560821533
-1.0955229997634888,-0.6598236560821533
-1.0955229997634888,-0.6978586316108704
-1.1242015361785889,-0.6978586316108704
-1.1758229732513428,-0.7160990238189697
-1.1758229732513428,-0.7489262223243713
-1.2197520732879639,-0.7489262223243713
-1.2197520732879639,-0.7768558859825134
-1.2425510883331299,-0.7768558859825134
-1.293849229812622,-0.7913491129875183
-1.293849229812622,-0.82395339012146
-1.3500326871871948,-0.82395339012146
-1.3500326871871948,-0.8596535921096802
-1.3728179931640625,-0.874129056930542
-1.4183887243270874,-0.9030749201774597
-1.460633635520935,-0.9030749201774597
-1.460633635520935,-0.9299022555351257
-1.4776839017868042,-0.9299022555351257
-1.5231510400772095,-0.9407280683517456
-1.5231510400772095,-0.9695920348167419
-1.5581316947937012,-0.9695920348167419
-1.5581316947937012,-0.9917937517166138
-1.5751293897628784,-0.9917937517166138
-1.609125018119812,-1.0025804042816162
-1.609125018119812,-1.0241504907608032
-1.6443140506744385,-1.0464732646942139
-1.6612657308578491,-1.0464732646942139
-1.700819730758667,-1.057225227355957
-1.700819730758667,-1.0823086500167847
-1.7347230911254883,-1.0823086500167847
-1.7347230911254883,-1.1038037538528442
-1.7827565670013428,-1.1127949953079224
-1.7827565670013428,-1.1342495679855347
-1.8109647035598755,-1.1342495679855347
-1.8109647035598755,-1.1521246433258057
-1.815612554550171,-1.1521246433258057
-1.8437180519104004,-1.1550695896148682
-1.8437180519104004,-1.1728757619857788
