actual,proposed
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.5047553777694702,-0.5047553777694702
-0.5334346294403076,-0.5334346294403076
-0.6012148261070251,-0.6012148261070251
-0.6012148261070251,-0.6012148261070251
-0.6584733724594116,-0.6584733724594116
-0.6928284764289856,-0.6928284764289856
-0.7520512938499451,-0.7520512938499451
-0.8094598054885864,-0.8094598054885864
-0.8439049124717712,-0.8439049124717712
-0.9013134241104126,-0.9013134241104126
-0.9013134241104126,-0.9013134241104126
-0.9498987197875977,-0.9498987197875977
-0.9785101413726807,-0.9785101413726807
-1.0357328653335571,-1.0357328653335571
-1.0955229997634888,-1.0357328653335571
-1.0955229997634888,-1.0955229997634888
-1.1242015361785889,-1.1242015361785889
-1.1758229732513428,-1.1758229732513428
-1.2197520732879639,-1.2197520732879639
-1.2425510883331299,-1.2197520732879639
-1.293849229812622,-1.2425510883331299
-1.293849229812622,-1.293849229812622
-1.3500326871871948,-1.3500326871871948
-1.3500326871871948,-1.3500326871871948
-1.3728179931640625,-1.3728179931640625
-1.4183887243270874,-1.4183887243270874
-1.460633635520935,-1.460633635520935
-1.4776839017868042,-1.4776839017868042
-1.5231510400772095,-1.5231510400772095
-1.5231510400772095,-1.5231510400772095
-1.5581316947937012,-1.5581316947937012
-1.5581316947937012,-1.5581316947937012
-1.5751293897628784,-1.5751293897628784
-1.609125018119812,-1.609125018119812
-1.6443140506744385,-1.6443140506744385
-1.6443140506744385,-1.6443140506744385
-1.6612657308578491,-1.6612657308578491
-1.700819730758667,-1.700819730758667
-1.7347230911254883,-1.7347230911254883
-1.7489067316055298,-1.7489067316055298
-1.7827565670013428,-1.7827565670013428
-1.7827565670013428,-1.7827565670013428
-1.8109647035598755,-1.8109647035598755
-1.815612554550171,-1.815612554550171
-1.8437180519104004,-1.8437180519104004
-1.8662023544311523,-1.8662023544311523
-1.8669610023498535,-1.8669610023498535
-1.8949096202850342,-1.8669610023498535
-1.8949096202850342,-1.8949096202850342
-1.9228581190109253,-1.9228581190109253
-1.9228581190109253,-1.9228581190109253
-1.9345462322235107,-1.9345462322235107
-1.9625020027160645,-1.9345462322235107
-1.9625020027160645,-1.9625020027160645
-1.973684310913086,-1.973684310913086
-1.973684310913086,-1.973684310913086
-1.9749611616134644,-1.9749611616134644
-1.9915574789047241,-1.9915574789047241
